,id,наименование,дата,аппарат,количество,машиночас
108,152,Белгородская область,2018-8,Ziesel,14,1728
109,153,Белгородская область,2018-9,Ziesel,21,1728
110,154,Белгородская область,2018-10,Ziesel,31,1728
111,155,Белгородская область,2018-11,Ziesel,33,1728
112,156,Белгородская область,2018-12,Ziesel,26,1728
113,161,Брянская область,2018-5,Ziesel,0,1703
114,162,Брянская область,2018-6,Ziesel,0,1703
115,163,Брянская область,2018-7,Ziesel,1,1703
116,164,Брянская область,2018-8,Ziesel,2,1703
117,165,Брянская область,2018-9,Ziesel,5,1703
118,166,Брянская область,2018-10,Ziesel,7,1703
119,167,Брянская область,2018-11,Ziesel,7,1703
120,168,Брянская область,2018-12,Ziesel,6,1703
121,172,Брянская область,2018-4,DTV Shredder,0,1562
122,173,Брянская область,2018-5,DTV Shredder,0,1562
123,174,Брянская область,2018-6,DTV Shredder,0,1562
124,175,Брянская область,2018-7,DTV Shredder,1,1562
125,176,Брянская область,2018-8,DTV Shredder,3,1562
126,177,Брянская область,2018-9,DTV Shredder,5,1562
127,178,Брянская область,2018-10,DTV Shredder,8,1562
128,179,Брянская область,2018-11,DTV Shredder,8,1562
129,180,Брянская область,2018-12,DTV Shredder,6,1562
130,185,Брянская область,2018-5,Ripsaw,0,2554
131,186,Брянская область,2018-6,Ripsaw,0,2554
132,187,Брянская область,2018-7,Ripsaw,1,2554
133,188,Брянская область,2018-8,Ripsaw,3,2554
134,189,Брянская область,2018-9,Ripsaw,5,2554
135,190,Брянская область,2018-10,Ripsaw,7,2554
136,191,Брянская область,2018-11,Ripsaw,8,2554
137,192,Брянская область,2018-12,Ripsaw,5,2554
138,196,Владимирская область,2018-4,Energiser505,0,353
139,197,Владимирская область,2018-5,Energiser505,0,353
140,198,Владимирская область,2018-6,Energiser505,0,353
141,199,Владимирская область,2018-7,Energiser505,0,353
142,200,Владимирская область,2018-8,Energiser505,2,353
143,201,Владимирская область,2018-9,Energiser505,3,353
144,202,Владимирская область,2018-10,Energiser505,5,353
145,203,Владимирская область,2018-11,Energiser505,5,353
146,204,Владимирская область,2018-12,Energiser505,4,353
147,209,Владимирская область,2018-5,Traxporter,0,4121
148,210,Владимирская область,2018-6,Traxporter,0,4121
149,211,Владимирская область,2018-7,Traxporter,0,4121
150,212,Владимирская область,2018-8,Traxporter,2,4121
151,213,Владимирская область,2018-9,Traxporter,2,4121
152,214,Владимирская область,2018-10,Traxporter,5,4121
153,215,Владимирская область,2018-11,Traxporter,5,4121
154,216,Владимирская область,2018-12,Traxporter,4,4121
155,220,Владимирская область,2018-4,Ziesel,0,1740
156,221,Владимирская область,2018-5,Ziesel,0,1740
157,222,Владимирская область,2018-6,Ziesel,0,1740
158,223,Владимирская область,2018-7,Ziesel,0,1740
159,224,Владимирская область,2018-8,Ziesel,1,1740
160,225,Владимирская область,2018-9,Ziesel,3,1740
161,226,Владимирская область,2018-10,Ziesel,4,1740
162,227,Владимирская область,2018-11,Ziesel,4,1740
163,228,Владимирская область,2018-12,Ziesel,4,1740
164,232,Волгоградская область,2018-4,Ziesel,0,1715
165,233,Волгоградская область,2018-5,Ziesel,0,1715
166,234,Волгоградская область,2018-6,Ziesel,3,1715
167,235,Волгоградская область,2018-7,Ziesel,7,1715
168,236,Волгоградская область,2018-8,Ziesel,15,1715
169,237,Волгоградская область,2018-9,Ziesel,31,1715
170,238,Волгоградская область,2018-10,Ziesel,39,1715
171,239,Волгоградская область,2018-11,Ziesel,42,1715
172,240,Волгоградская область,2018-12,Ziesel,39,1715
173,244,Волгоградская область,2018-4,DTV Shredder,0,1564
174,245,Волгоградская область,2018-5,DTV Shredder,0,1564
175,246,Волгоградская область,2018-6,DTV Shredder,2,1564
176,247,Волгоградская область,2018-7,DTV Shredder,5,1564
177,248,Волгоградская область,2018-8,DTV Shredder,18,1564
178,249,Волгоградская область,2018-9,DTV Shredder,31,1564
179,250,Волгоградская область,2018-10,DTV Shredder,47,1564
180,251,Волгоградская область,2018-11,DTV Shredder,52,1564
181,252,Волгоградская область,2018-12,DTV Shredder,37,1564
182,257,Волгоградская область,2018-5,Ripsaw,0,2522
183,258,Волгоградская область,2018-6,Ripsaw,2,2522
184,259,Волгоградская область,2018-7,Ripsaw,6,2522
185,260,Волгоградская область,2018-8,Ripsaw,15,2522
186,261,Волгоградская область,2018-9,Ripsaw,32,2522
187,262,Волгоградская область,2018-10,Ripsaw,43,2522
188,263,Волгоградская область,2018-11,Ripsaw,44,2522
189,264,Волгоградская область,2018-12,Ripsaw,35,2522
190,269,Вологодская область,2018-5,Energiser505,0,354
191,270,Вологодская область,2018-6,Energiser505,2,354
192,271,Вологодская область,2018-7,Energiser505,4,354
193,272,Вологодская область,2018-8,Energiser505,15,354
194,273,Вологодская область,2018-9,Energiser505,28,354
195,274,Вологодская область,2018-10,Energiser505,40,354
196,275,Вологодская область,2018-11,Energiser505,36,354
197,276,Вологодская область,2018-12,Energiser505,29,354
198,280,Вологодская область,2018-4,Red BUG CT500,0,662
199,281,Вологодская область,2018-5,Red BUG CT500,0,662
200,282,Вологодская область,2018-6,Red BUG CT500,2,662
201,283,Вологодская область,2018-7,Red BUG CT500,5,662
202,284,Вологодская область,2018-8,Red BUG CT500,10,662
203,285,Вологодская область,2018-9,Red BUG CT500,19,662
204,286,Вологодская область,2018-10,Red BUG CT500,32,662
205,287,Вологодская область,2018-11,Red BUG CT500,37,662
206,288,Вологодская область,2018-12,Red BUG CT500,23,662
207,293,Воронежская область,2018-5,Red RBL-03,0,1219
208,294,Воронежская область,2018-6,Red RBL-03,2,1219
209,295,Воронежская область,2018-7,Red RBL-03,5,1219
210,296,Воронежская область,2018-8,Red RBL-03,13,1219
211,297,Воронежская область,2018-9,Red RBL-03,23,1219
212,298,Воронежская область,2018-10,Red RBL-03,32,1219
213,299,Воронежская область,2018-11,Red RBL-03,36,1219
214,300,Воронежская область,2018-12,Red RBL-03,27,1219
215,305,Воронежская область,2018-5,AFA-ROCK,0,633
216,306,Воронежская область,2018-6,AFA-ROCK,2,633
217,307,Воронежская область,2018-7,AFA-ROCK,4,633
218,308,Воронежская область,2018-8,AFA-ROCK,14,633
219,309,Воронежская область,2018-9,AFA-ROCK,21,633
220,310,Воронежская область,2018-10,AFA-ROCK,29,633
221,311,Воронежская область,2018-11,AFA-ROCK,31,633
222,312,Воронежская область,2018-12,AFA-ROCK,26,633
223,317,Воронежская область,2018-5,Honda HSM,0,1381
224,318,Воронежская область,2018-6,Honda HSM,1,1381
225,319,Воронежская область,2018-7,Honda HSM,5,1381
226,320,Воронежская область,2018-8,Honda HSM,10,1381
227,321,Воронежская область,2018-9,Honda HSM,17,1381
228,322,Воронежская область,2018-10,Honda HSM,23,1381
229,323,Воронежская область,2018-11,Honda HSM,25,1381
230,324,Воронежская область,2018-12,Honda HSM,21,1381
231,328,Воронежская область,2018-4,Traxporter,0,4221
232,329,Воронежская область,2018-5,Traxporter,0,4221
233,330,Воронежская область,2018-6,Traxporter,1,4221
234,331,Воронежская область,2018-7,Traxporter,4,4221
235,332,Воронежская область,2018-8,Traxporter,13,4221
236,333,Воронежская область,2018-9,Traxporter,19,4221
237,334,Воронежская область,2018-10,Traxporter,30,4221
238,335,Воронежская область,2018-11,Traxporter,33,4221
239,336,Воронежская область,2018-12,Traxporter,26,4221
240,340,г. Москва,2018-4,Ziesel,0,1768
241,341,г. Москва,2018-5,Ziesel,0,1768
242,342,г. Москва,2018-6,Ziesel,2,1768
243,343,г. Москва,2018-7,Ziesel,8,1768
244,344,г. Москва,2018-8,Ziesel,17,1768
245,345,г. Москва,2018-9,Ziesel,33,1768
246,346,г. Москва,2018-10,Ziesel,47,1768
247,347,г. Москва,2018-11,Ziesel,46,1768
248,348,г. Москва,2018-12,Ziesel,37,1768
249,352,г. Москва,2018-4,DTV Shredder,0,1542
250,353,г. Москва,2018-5,DTV Shredder,0,1542
251,354,г. Москва,2018-6,DTV Shredder,2,1542
252,355,г. Москва,2018-7,DTV Shredder,5,1542
253,356,г. Москва,2018-8,DTV Shredder,15,1542
254,357,г. Москва,2018-9,DTV Shredder,30,1542
255,358,г. Москва,2018-10,DTV Shredder,40,1542
256,359,г. Москва,2018-11,DTV Shredder,42,1542
257,360,г. Москва,2018-12,DTV Shredder,33,1542
258,365,г. Москва,2018-5,Ripsaw,0,2544
259,366,г. Москва,2018-6,Ripsaw,2,2544
260,367,г. Москва,2018-7,Ripsaw,5,2544
261,368,г. Москва,2018-8,Ripsaw,13,2544
262,369,г. Москва,2018-9,Ripsaw,31,2544
263,370,г. Москва,2018-10,Ripsaw,36,2544
264,371,г. Москва,2018-11,Ripsaw,47,2544
265,372,г. Москва,2018-12,Ripsaw,35,2544
266,376,г. Севастополь,2018-4,Energiser505,0,329
267,377,г. Севастополь,2018-5,Energiser505,0,329
268,378,г. Севастополь,2018-6,Energiser505,0,329
269,379,г. Севастополь,2018-7,Energiser505,6,329
270,380,г. Севастополь,2018-8,Energiser505,14,329
271,381,г. Севастополь,2018-9,Energiser505,23,329
272,382,г. Севастополь,2018-10,Energiser505,36,329
273,383,г. Севастополь,2018-11,Energiser505,37,329
274,384,г. Севастополь,2018-12,Energiser505,29,329
275,388,г. Севастополь,2018-4,Traxporter,0,4143
276,389,г. Севастополь,2018-5,Traxporter,0,4143
277,390,г. Севастополь,2018-6,Traxporter,2,4143
278,391,г. Севастополь,2018-7,Traxporter,10,4143
279,392,г. Севастополь,2018-8,Traxporter,15,4143
280,393,г. Севастополь,2018-9,Traxporter,27,4143
281,394,г. Севастополь,2018-10,Traxporter,42,4143
282,395,г. Севастополь,2018-11,Traxporter,41,4143
283,396,г. Севастополь,2018-12,Traxporter,41,4143
284,400,г. Севастополь,2018-4,Ziesel,0,1688
285,401,г. Севастополь,2018-5,Ziesel,0,1688
286,402,г. Севастополь,2018-6,Ziesel,3,1688
287,403,г. Севастополь,2018-7,Ziesel,7,1688
288,404,г. Севастополь,2018-8,Ziesel,16,1688
289,405,г. Севастополь,2018-9,Ziesel,29,1688
290,406,г. Севастополь,2018-10,Ziesel,45,1688
291,407,г. Севастополь,2018-11,Ziesel,43,1688
292,408,г. Севастополь,2018-12,Ziesel,35,1688
293,412,г.Санкт-Петербург,2018-4,Energiser505,0,361
294,413,г.Санкт-Петербург,2018-5,Energiser505,1,361
295,414,г.Санкт-Петербург,2018-6,Energiser505,5,361
296,415,г.Санкт-Петербург,2018-7,Energiser505,23,361
297,416,г.Санкт-Петербург,2018-8,Energiser505,46,361
298,417,г.Санкт-Петербург,2018-9,Energiser505,93,361
299,418,г.Санкт-Петербург,2018-10,Energiser505,144,361
300,419,г.Санкт-Петербург,2018-11,Energiser505,161,361
301,420,г.Санкт-Петербург,2018-12,Energiser505,103,361
302,425,г.Санкт-Петербург,2018-5,Traxporter,2,4196
303,426,г.Санкт-Петербург,2018-6,Traxporter,9,4196
304,427,г.Санкт-Петербург,2018-7,Traxporter,23,4196
305,428,г.Санкт-Петербург,2018-8,Traxporter,50,4196
306,429,г.Санкт-Петербург,2018-9,Traxporter,100,4196
307,430,г.Санкт-Петербург,2018-10,Traxporter,145,4196
308,431,г.Санкт-Петербург,2018-11,Traxporter,144,4196
309,432,г.Санкт-Петербург,2018-12,Traxporter,113,4196
310,436,г.Санкт-Петербург,2018-4,Ziesel,0,1753
311,437,г.Санкт-Петербург,2018-5,Ziesel,2,1753
312,438,г.Санкт-Петербург,2018-6,Ziesel,8,1753
313,439,г.Санкт-Петербург,2018-7,Ziesel,17,1753
314,440,г.Санкт-Петербург,2018-8,Ziesel,43,1753
315,441,г.Санкт-Петербург,2018-9,Ziesel,81,1753
316,442,г.Санкт-Петербург,2018-10,Ziesel,103,1753
317,443,г.Санкт-Петербург,2018-11,Ziesel,111,1753
318,444,г.Санкт-Петербург,2018-12,Ziesel,100,1753
319,449,Забайкальский край,2018-5,Energiser505,0,366
320,450,Забайкальский край,2018-6,Energiser505,2,366
321,451,Забайкальский край,2018-7,Energiser505,7,366
322,452,Забайкальский край,2018-8,Energiser505,17,366
323,453,Забайкальский край,2018-9,Energiser505,32,366
324,454,Забайкальский край,2018-10,Energiser505,52,366
325,455,Забайкальский край,2018-11,Energiser505,49,366
326,456,Забайкальский край,2018-12,Energiser505,33,366
327,461,Забайкальский край,2018-5,Red BUG CT500,1,620
328,462,Забайкальский край,2018-6,Red BUG CT500,2,620
329,463,Забайкальский край,2018-7,Red BUG CT500,8,620
330,464,Забайкальский край,2018-8,Red BUG CT500,14,620
331,465,Забайкальский край,2018-9,Red BUG CT500,30,620
332,466,Забайкальский край,2018-10,Red BUG CT500,49,620
333,467,Забайкальский край,2018-11,Red BUG CT500,47,620
334,468,Забайкальский край,2018-12,Red BUG CT500,36,620
335,474,Ивановская область,2018-6,Red RBL-03,13,1256
336,475,Ивановская область,2018-7,Red RBL-03,34,1256
337,476,Ивановская область,2018-8,Red RBL-03,89,1256
338,477,Ивановская область,2018-9,Red RBL-03,152,1256
339,478,Ивановская область,2018-10,Red RBL-03,212,1256
340,479,Ивановская область,2018-11,Red RBL-03,240,1256
341,480,Ивановская область,2018-12,Red RBL-03,188,1256
342,484,Ивановская область,2018-4,AFA-ROCK,0,661
343,485,Ивановская область,2018-5,AFA-ROCK,4,661
344,486,Ивановская область,2018-6,AFA-ROCK,13,661
345,487,Ивановская область,2018-7,AFA-ROCK,27,661
346,488,Ивановская область,2018-8,AFA-ROCK,79,661
347,489,Ивановская область,2018-9,AFA-ROCK,146,661
348,490,Ивановская область,2018-10,AFA-ROCK,213,661
349,491,Ивановская область,2018-11,AFA-ROCK,232,661
350,492,Ивановская область,2018-12,AFA-ROCK,195,661
351,498,Ивановская область,2018-6,Honda HSM,7,1379
352,499,Ивановская область,2018-7,Honda HSM,28,1379
353,500,Ивановская область,2018-8,Honda HSM,72,1379
354,501,Ивановская область,2018-9,Honda HSM,131,1379
355,502,Ивановская область,2018-10,Honda HSM,192,1379
356,503,Ивановская область,2018-11,Honda HSM,174,1379
357,504,Ивановская область,2018-12,Honda HSM,146,1379
358,509,Ивановская область,2018-5,Traxporter,1,4017
359,510,Ивановская область,2018-6,Traxporter,14,4017
360,511,Ивановская область,2018-7,Traxporter,47,4017
361,512,Ивановская область,2018-8,Traxporter,84,4017
362,513,Ивановская область,2018-9,Traxporter,137,4017
363,514,Ивановская область,2018-10,Traxporter,224,4017
364,515,Ивановская область,2018-11,Traxporter,239,4017
365,516,Ивановская область,2018-12,Traxporter,168,4017
366,521,Иркутская область,2018-5,Ziesel,2,1721
367,522,Иркутская область,2018-6,Ziesel,9,1721
368,523,Иркутская область,2018-7,Ziesel,36,1721
369,524,Иркутская область,2018-8,Ziesel,64,1721
370,525,Иркутская область,2018-9,Ziesel,134,1721
371,526,Иркутская область,2018-10,Ziesel,177,1721
372,527,Иркутская область,2018-11,Ziesel,193,1721
373,528,Иркутская область,2018-12,Ziesel,156,1721
374,533,Иркутская область,2018-5,DTV Shredder,6,1553
375,534,Иркутская область,2018-6,DTV Shredder,7,1553
376,535,Иркутская область,2018-7,DTV Shredder,36,1553
377,536,Иркутская область,2018-8,DTV Shredder,76,1553
378,537,Иркутская область,2018-9,DTV Shredder,156,1553
379,538,Иркутская область,2018-10,DTV Shredder,209,1553
380,539,Иркутская область,2018-11,DTV Shredder,211,1553
381,540,Иркутская область,2018-12,DTV Shredder,184,1553
382,545,Иркутская область,2018-5,Ripsaw,5,2467
383,546,Иркутская область,2018-6,Ripsaw,9,2467
384,547,Иркутская область,2018-7,Ripsaw,28,2467
385,548,Иркутская область,2018-8,Ripsaw,70,2467
386,549,Иркутская область,2018-9,Ripsaw,137,2467
387,550,Иркутская область,2018-10,Ripsaw,180,2467
388,551,Иркутская область,2018-11,Ripsaw,204,2467
389,552,Иркутская область,2018-12,Ripsaw,169,2467
390,556,Калининградская область,2018-4,Ziesel,0,1778
391,557,Калининградская область,2018-5,Ziesel,0,1778
392,558,Калининградская область,2018-6,Ziesel,1,1778
393,559,Калининградская область,2018-7,Ziesel,4,1778
394,560,Калининградская область,2018-8,Ziesel,15,1778
395,561,Калининградская область,2018-9,Ziesel,18,1778
396,562,Калининградская область,2018-10,Ziesel,30,1778
397,563,Калининградская область,2018-11,Ziesel,31,1778
398,564,Калининградская область,2018-12,Ziesel,27,1778
399,568,Калининградская область,2018-4,DTV Shredder,0,1579
400,569,Калининградская область,2018-5,DTV Shredder,0,1579
401,570,Калининградская область,2018-6,DTV Shredder,1,1579
402,571,Калининградская область,2018-7,DTV Shredder,4,1579
403,572,Калининградская область,2018-8,DTV Shredder,13,1579
404,573,Калининградская область,2018-9,DTV Shredder,24,1579
405,574,Калининградская область,2018-10,DTV Shredder,31,1579
406,575,Калининградская область,2018-11,DTV Shredder,37,1579
407,576,Калининградская область,2018-12,DTV Shredder,25,1579
408,581,Калининградская область,2018-5,Ripsaw,0,2458
409,582,Калининградская область,2018-6,Ripsaw,1,2458
410,583,Калининградская область,2018-7,Ripsaw,4,2458
411,584,Калининградская область,2018-8,Ripsaw,12,2458
412,585,Калининградская область,2018-9,Ripsaw,21,2458
413,586,Калининградская область,2018-10,Ripsaw,28,2458
414,587,Калининградская область,2018-11,Ripsaw,31,2458
415,588,Калининградская область,2018-12,Ripsaw,24,2458
416,593,Калужская область,2018-5,Energiser505,1,346
417,594,Калужская область,2018-6,Energiser505,2,346
418,595,Калужская область,2018-7,Energiser505,9,346
419,596,Калужская область,2018-8,Energiser505,26,346
420,597,Калужская область,2018-9,Energiser505,41,346
421,598,Калужская область,2018-10,Energiser505,63,346
422,599,Калужская область,2018-11,Energiser505,74,346
423,600,Калужская область,2018-12,Energiser505,52,346
424,604,Калужская область,2018-4,Red BUG CT500,0,648
425,605,Калужская область,2018-5,Red BUG CT500,0,648
426,606,Калужская область,2018-6,Red BUG CT500,3,648
427,607,Калужская область,2018-7,Red BUG CT500,11,648
428,608,Калужская область,2018-8,Red BUG CT500,23,648
429,609,Калужская область,2018-9,Red BUG CT500,40,648
430,610,Калужская область,2018-10,Red BUG CT500,59,648
431,611,Калужская область,2018-11,Red BUG CT500,65,648
432,612,Калужская область,2018-12,Red BUG CT500,52,648
433,617,Камчатский край,2018-5,Energiser505,0,342
434,618,Камчатский край,2018-6,Energiser505,4,342
435,619,Камчатский край,2018-7,Energiser505,12,342
436,620,Камчатский край,2018-8,Energiser505,23,342
437,621,Камчатский край,2018-9,Energiser505,52,342
438,622,Камчатский край,2018-10,Energiser505,66,342
439,623,Камчатский край,2018-11,Energiser505,77,342
440,624,Камчатский край,2018-12,Energiser505,50,342
441,628,Камчатский край,2018-4,Red BUG CT500,0,628
442,629,Камчатский край,2018-5,Red BUG CT500,0,628
443,630,Камчатский край,2018-6,Red BUG CT500,3,628
444,631,Камчатский край,2018-7,Red BUG CT500,8,628
445,632,Камчатский край,2018-8,Red BUG CT500,22,628
446,633,Камчатский край,2018-9,Red BUG CT500,40,628
447,634,Камчатский край,2018-10,Red BUG CT500,56,628
448,635,Камчатский край,2018-11,Red BUG CT500,68,628
449,636,Камчатский край,2018-12,Red BUG CT500,50,628
450,641,Кемеровская область,2018-5,Energiser505,1,352
451,642,Кемеровская область,2018-6,Energiser505,2,352
452,643,Кемеровская область,2018-7,Energiser505,5,352
453,644,Кемеровская область,2018-8,Energiser505,13,352
454,645,Кемеровская область,2018-9,Energiser505,25,352
455,646,Кемеровская область,2018-10,Energiser505,38,352
456,647,Кемеровская область,2018-11,Energiser505,37,352
457,648,Кемеровская область,2018-12,Energiser505,27,352
458,653,Кемеровская область,2018-5,Red BUG CT500,0,611
459,654,Кемеровская область,2018-6,Red BUG CT500,1,611
460,655,Кемеровская область,2018-7,Red BUG CT500,6,611
461,656,Кемеровская область,2018-8,Red BUG CT500,12,611
462,657,Кемеровская область,2018-9,Red BUG CT500,24,611
463,658,Кемеровская область,2018-10,Red BUG CT500,28,611
464,659,Кемеровская область,2018-11,Red BUG CT500,36,611
465,660,Кемеровская область,2018-12,Red BUG CT500,25,611
466,663,Кировская область,2018-3,Energiser505,0,338
467,664,Кировская область,2018-4,Energiser505,0,338
468,665,Кировская область,2018-5,Energiser505,0,338
469,666,Кировская область,2018-6,Energiser505,3,338
470,667,Кировская область,2018-7,Energiser505,8,338
471,668,Кировская область,2018-8,Energiser505,19,338
472,669,Кировская область,2018-9,Energiser505,39,338
473,670,Кировская область,2018-10,Energiser505,49,338
474,671,Кировская область,2018-11,Energiser505,65,338
475,672,Кировская область,2018-12,Energiser505,42,338
476,676,Кировская область,2018-4,Red BUG CT500,0,600
477,677,Кировская область,2018-5,Red BUG CT500,1,600
478,678,Кировская область,2018-6,Red BUG CT500,4,600
479,679,Кировская область,2018-7,Red BUG CT500,10,600
480,680,Кировская область,2018-8,Red BUG CT500,24,600
481,681,Кировская область,2018-9,Red BUG CT500,42,600
482,682,Кировская область,2018-10,Red BUG CT500,53,600
483,683,Кировская область,2018-11,Red BUG CT500,55,600
484,684,Кировская область,2018-12,Red BUG CT500,42,600
485,689,Костромская область,2018-5,Energiser505,0,351
486,690,Костромская область,2018-6,Energiser505,3,351
487,691,Костромская область,2018-7,Energiser505,5,351
488,692,Костромская область,2018-8,Energiser505,15,351
489,693,Костромская область,2018-9,Energiser505,30,351
490,694,Костромская область,2018-10,Energiser505,42,351
491,695,Костромская область,2018-11,Energiser505,41,351
492,696,Костромская область,2018-12,Energiser505,33,351
493,701,Костромская область,2018-5,Red BUG CT500,1,631
494,702,Костромская область,2018-6,Red BUG CT500,2,631
495,703,Костромская область,2018-7,Red BUG CT500,8,631
496,704,Костромская область,2018-8,Red BUG CT500,16,631
497,705,Костромская область,2018-9,Red BUG CT500,27,631
498,706,Костромская область,2018-10,Red BUG CT500,39,631
499,707,Костромская область,2018-11,Red BUG CT500,43,631
500,708,Костромская область,2018-12,Red BUG CT500,35,631
501,712,Краснодарский край,2018-4,Energiser505,0,356
502,713,Краснодарский край,2018-5,Energiser505,0,356
